recency,history,used_discount,used_bogo,is_referral,treatment,target_class,conversion,zip_code_Rural,zip_code_Surburban,zip_code_Urban,channel_Multichannel,channel_Phone,channel_Web,uplift_score
1,110.07,0,1,0,1,2,0,0,0,1,0,0,1,0.08213508966999536
2,29.99,0,1,0,1,2,0,0,0,1,0,0,1,0.05653532303715235
11,160.04,1,0,0,1,2,0,1,0,0,0,0,1,0.053442749750063634
1,418.68,0,1,0,0,0,0,0,1,0,0,0,1,0.08704567031207666
11,316.23,1,0,1,1,2,0,0,0,1,0,1,0,0.07105225930206435
9,329.96,0,1,1,0,0,0,0,1,0,0,1,0,0.06843438264530868
7,185.73,1,0,0,1,2,0,0,1,0,0,1,0,0.06817873279489343
1,616.73,0,1,1,1,2,0,0,0,1,0,0,1,0.09022853655976194
3,249.71,1,0,0,0,0,0,0,1,0,0,1,0,0.07689778939235276
2,46.09,0,1,0,0,0,0,0,0,1,0,0,1,0.06530735713967513
8,48.87,1,0,1,1,2,0,0,1,0,0,0,1,0.06850239584070586
4,270.24,1,0,1,0,0,0,0,0,1,0,1,0,0.07585202538433475
9,228.8,1,0,0,1,3,1,0,1,0,1,0,0,0.06856193085053655
9,162.59,0,1,0,1,3,1,0,0,1,0,1,0,0.0769403748028038
12,87.62,1,0,1,1,2,0,0,0,1,0,1,0,0.06522352645883872
3,29.99,1,0,0,1,2,0,0,1,0,0,1,0,0.06491345836085431
2,29.99,0,1,0,1,2,0,0,1,0,0,1,0,0.05818172817976071
7,229.53,1,0,0,1,3,1,0,1,0,0,0,1,0.07176878542402984
1,439.93,1,1,1,0,0,0,1,0,0,1,0,0,0.099885899570402
2,289.55,0,1,0,0,1,1,1,0,0,0,1,0,0.07112316831705712
5,29.99,0,1,1,1,3,1,0,1,0,0,1,0,0.06359258432853707
9,274.29,1,0,0,0,0,0,0,1,0,0,0,1,0.07654760486455803
1,293.37,1,0,0,0,0,0,0,1,0,0,1,0,0.08528826882640078
12,29.99,1,0,1,0,0,0,0,0,1,0,1,0,0.06825443147232262
1,407.09,1,0,0,0,0,0,0,1,0,0,0,1,0.09947009853625982
1,142.4,0,1,0,0,0,0,0,1,0,0,1,0,0.08273747838202708
1,29.99,0,1,1,1,2,0,0,0,1,0,0,1,0.030537507228626193
12,284.54,1,1,0,1,2,0,0,1,0,0,0,1,0.113283057789397
2,60.2,0,1,1,0,0,0,0,1,0,0,0,1,0.077474208810246
4,1089.77,1,0,1,1,2,0,0,0,1,1,0,0,0.07917820231630184
1,790.36,1,1,1,1,2,0,0,0,1,1,0,0,0.10938555076578776
4,36.49,1,0,1,0,0,0,0,0,1,0,0,1,0.06699323511352115
12,271.89,1,0,0,1,2,0,1,0,0,0,0,1,0.07700523838271472
3,39.83,0,1,1,1,3,1,0,0,1,0,1,0,0.07032199727667608
5,269.99,1,1,0,1,2,0,0,1,0,0,1,0,0.10883342870622756
4,292.61,1,0,0,0,0,0,0,1,0,1,0,0,0.07859697170749674
6,29.99,1,0,0,0,0,0,0,1,0,0,0,1,0.06298843729498493
9,116.3,1,0,1,1,3,1,1,0,0,0,0,1,0.06805105540536718
5,29.99,1,0,0,0,0,0,0,1,0,0,0,1,0.0645454715859933
3,29.99,0,1,1,0,0,0,0,0,1,0,0,1,0.06507242873846758
7,39.78,0,1,0,1,2,0,0,1,0,0,0,1,0.06637853482396092
1,720.17,1,1,1,1,2,0,0,0,1,0,1,0,0.12390804296415647
4,69.08,0,1,0,1,2,0,0,0,1,0,1,0,0.07655579151210208
1,301.19,1,0,1,0,0,0,0,1,0,0,0,1,0.0883957866627901
10,307.64,0,1,0,1,2,0,0,0,1,1,0,0,0.08370086220179672
7,481.56,1,0,0,1,2,0,0,1,0,0,0,1,0.08181219125065767
10,29.99,0,1,0,0,0,0,0,1,0,0,0,1,0.07694834503908772
5,425.1,1,0,1,1,2,0,1,0,0,0,1,0,0.07576999239616747
10,36.28,1,0,1,0,0,0,0,0,1,0,0,1,0.06971567897454384
7,32.42,1,0,0,0,0,0,0,1,0,0,1,0,0.061315262388329794
1,150.93,1,0,0,0,0,0,0,1,0,0,0,1,0.0809379886572977
1,506.51,1,0,1,0,0,0,0,0,1,1,0,0,0.08838541468917985
8,575.62,1,1,1,1,2,0,0,0,1,1,0,0,0.11617931940004614
2,145.76,0,1,1,0,1,1,0,1,0,0,0,1,0.0802710388805407
8,428.0,1,0,1,0,0,0,0,1,0,1,0,0,0.07299197072359252
6,604.39,1,1,1,0,0,0,0,0,1,0,1,0,0.12216505957253185
8,171.88,1,0,0,0,0,0,0,1,0,0,1,0,0.0649652564286451
7,29.99,1,0,1,1,2,0,0,1,0,0,0,1,0.06009293259255882
1,209.98,1,0,0,0,1,1,0,1,0,0,0,1,0.08368540560518822
3,166.0,0,1,0,0,0,0,0,0,1,0,0,1,0.07791472264099368
8,336.76,0,1,0,1,2,0,0,1,0,0,1,0,0.07113553782791024
4,356.73,0,1,0,0,0,0,0,1,0,0,0,1,0.07822506524772098
4,52.12,1,0,0,1,2,0,0,0,1,0,1,0,0.08064270106318075
7,406.7,0,1,1,1,2,0,0,1,0,0,1,0,0.07825268975447343
6,277.81,1,0,1,0,0,0,0,1,0,1,0,0,0.07152179700905935
1,181.98,0,1,1,1,2,0,0,0,1,0,0,1,0.0824259527652235
5,29.99,0,1,1,0,0,0,1,0,0,0,0,1,0.06590282122914645
5,29.99,0,1,0,0,1,1,0,1,0,0,0,1,0.0619503747323
6,29.99,0,1,1,1,2,0,0,0,1,0,0,1,0.06434844368396239
8,130.31,1,0,1,0,0,0,0,1,0,0,1,0,0.06497345430937039
3,65.26,1,0,0,1,3,1,0,0,1,0,0,1,0.08003947159360719
2,115.56,0,1,1,0,0,0,0,1,0,0,0,1,0.08076936963689148
8,104.94,0,1,0,0,0,0,0,0,1,0,1,0,0.07141937523590515
7,69.44,1,0,0,1,3,1,1,0,0,0,0,1,0.07644136030576641
2,224.89,1,1,0,0,0,0,0,0,1,1,0,0,0.11957240749950429
5,354.03,1,0,0,1,2,0,0,0,1,0,0,1,0.08963579185495575
10,151.43,1,0,0,0,0,0,0,0,1,0,0,1,0.05863217412968695
11,120.14,1,0,0,1,2,0,0,0,1,0,0,1,0.0676237886846275
5,290.86,1,0,1,0,0,0,0,0,1,0,0,1,0.08262239665470761
11,81.06,1,0,0,1,2,0,0,0,1,0,0,1,0.0709621210147254
10,55.11,1,0,1,1,2,0,0,0,1,0,0,1,0.06654901749546438
1,513.83,0,1,1,1,2,0,0,1,0,1,0,0,0.08156653025827654
4,770.38,0,1,1,0,0,0,1,0,0,1,0,0,0.07956254340520837
1,33.5,1,0,0,1,2,0,0,1,0,0,0,1,0.038248310815991615
2,56.25,1,0,1,1,2,0,0,1,0,0,1,0,0.07839704694322792
2,1093.92,1,1,1,0,0,0,0,1,0,0,0,1,0.1130719843318623
1,752.8,1,1,1,0,0,0,0,0,1,0,1,0,0.11565189220401045
2,199.95,1,0,1,0,0,0,0,1,0,0,1,0,0.08167912414622339
9,239.91,0,1,0,0,0,0,1,0,0,0,1,0,0.07544679459032674
8,43.16,0,1,1,0,0,0,0,0,1,0,1,0,0.06688922093455885
2,418.81,0,1,0,0,0,0,0,1,0,1,0,0,0.073695991268181
3,67.4,1,0,0,1,2,0,0,1,0,0,0,1,0.07808546490184197
10,54.25,0,1,0,1,2,0,0,1,0,0,0,1,0.07345490302505278
7,329.26,0,1,0,1,2,0,0,0,1,0,0,1,0.08211842511588587
1,29.99,1,0,1,1,2,0,1,0,0,0,1,0,0.0610223215762955
5,39.52,1,0,1,1,2,0,0,1,0,0,1,0,0.06391131613155958
1,307.58,1,0,0,0,0,0,0,1,0,1,0,0,0.08606053270881142
6,92.32,0,1,0,1,2,0,0,0,1,0,1,0,0.06827180372757442
10,375.9,0,1,0,1,2,0,0,0,1,0,0,1,0.081709412772372
9,29.99,1,0,0,1,2,0,0,0,1,0,0,1,0.0876169412010744
9,220.51,1,0,0,1,2,0,0,0,1,1,0,0,0.0746655433574652
6,78.69,0,1,0,1,2,0,0,1,0,0,1,0,0.06847305746464517
3,376.14,1,0,0,0,0,0,0,1,0,0,1,0,0.08732569600493724
1,179.63,1,0,0,1,3,1,0,1,0,0,1,0,0.08218027261025981
8,59.76,0,1,1,1,2,0,0,0,1,0,0,1,0.06933088496641221
4,320.17,0,1,1,1,2,0,0,0,1,0,1,0,0.08436333400984111
1,103.07,1,0,0,1,2,0,0,1,0,0,0,1,0.0795869082515078
10,35.84,1,0,1,0,0,0,0,0,1,0,1,0,0.06997106412296654
2,90.91,1,0,0,1,2,0,0,1,0,0,0,1,0.08139886379587162
5,215.03,0,1,1,0,0,0,0,0,1,0,0,1,0.07550418463819024
1,856.4,0,1,1,0,0,0,0,0,1,0,0,1,0.08774550374589914
10,139.83,1,0,1,1,2,0,0,0,1,0,1,0,0.05902113316738555
10,245.09,1,0,0,0,0,0,0,0,1,1,0,0,0.07214220332296734
6,127.2,0,1,0,0,0,0,0,1,0,0,1,0,0.06949008230919317
1,470.65,1,0,0,1,2,0,0,0,1,0,1,0,0.09631671620910154
1,59.13,1,0,1,1,2,0,0,0,1,0,0,1,0.07313267777378507
3,327.1,1,0,1,0,0,0,0,1,0,0,0,1,0.08089051985836186
1,399.72,1,1,0,1,3,1,0,1,0,0,1,0,0.1268436581234204
3,29.99,1,0,0,0,0,0,0,0,1,0,1,0,0.07282832232282517
6,398.03,1,1,0,0,0,0,0,1,0,0,1,0,0.11814785284505341
4,134.24,0,1,0,1,3,1,0,0,1,0,0,1,0.07775282530078043
10,290.55,0,1,0,1,2,0,0,1,0,0,0,1,0.07630296983120329
7,29.99,1,0,0,0,0,0,0,1,0,0,0,1,0.0631103449221754
4,87.69,1,0,0,1,2,0,0,1,0,0,0,1,0.07825691737232178
12,465.37,0,1,1,0,0,0,1,0,0,1,0,0,0.062159124529483745
1,188.89,0,1,1,0,0,0,0,1,0,0,0,1,0.081253827045407
4,49.8,1,0,1,1,2,0,0,0,1,0,0,1,0.07366108465664689
3,229.42,0,1,0,0,0,0,1,0,0,1,0,0,0.07068544456876752
1,253.18,0,1,0,1,2,0,0,1,0,1,0,0,0.07375339100262315
2,156.4,0,1,0,1,2,0,0,1,0,0,0,1,0.07671999912881847
4,557.47,1,0,1,0,0,0,0,0,1,0,0,1,0.09169765878769726
11,140.07,0,1,1,1,2,0,0,0,1,0,0,1,0.06284143113737092
10,168.04,1,0,0,0,0,0,0,0,1,0,0,1,0.06708117966669397
4,164.7,1,0,0,0,0,0,0,1,0,0,1,0,0.07339180715052822
2,57.53,1,0,1,0,0,0,0,0,1,0,1,0,0.0755497791934795
3,188.19,1,0,0,1,3,1,0,0,1,0,1,0,0.07877338133023998
10,29.99,0,1,0,0,1,1,0,1,0,0,0,1,0.07694834503908772
1,35.23,1,0,1,1,2,0,0,0,1,0,1,0,0.06896584766165303
4,550.59,1,0,1,0,0,0,0,1,0,0,0,1,0.08892937947609289
6,232.94,1,0,1,1,2,0,0,1,0,1,0,0,0.06938143224696187
10,205.88,1,0,0,0,0,0,0,0,1,0,1,0,0.07079720051223622
1,1281.48,1,0,1,1,2,0,0,0,1,0,1,0,0.07402226452623017
3,29.99,1,0,0,0,1,1,0,0,1,0,0,1,0.06962943198751545
3,542.16,1,0,1,1,3,1,0,0,1,0,1,0,0.0914433456955786
6,507.25,0,1,1,1,2,0,0,0,1,0,1,0,0.08584598906767982
10,29.99,1,0,0,1,2,0,1,0,0,0,0,1,0.08492966847862848
7,60.02,1,0,1,1,2,0,0,1,0,0,1,0,0.06584364559619932
1,68.5,0,1,0,0,0,0,0,0,1,0,1,0,0.07831448408244766
11,37.45,0,1,0,0,0,0,0,0,1,0,1,0,0.07616697525960388
4,70.39,0,1,1,0,0,0,0,1,0,0,0,1,0.0758262480647511
6,98.8,0,1,1,1,3,1,1,0,0,0,1,0,0.0728626011851589
5,556.5,0,1,1,1,2,0,1,0,0,0,0,1,0.0782684754268435
6,136.26,0,1,1,0,0,0,1,0,0,0,0,1,0.072654477939175
9,172.14,0,1,0,1,2,0,0,0,1,0,1,0,0.07665224727341441
2,203.52,1,1,1,0,1,1,0,0,1,1,0,0,0.11519445797344705
10,320.11,0,1,0,0,0,0,1,0,0,0,0,1,0.07554005106072491
8,267.25,0,1,0,1,2,0,0,1,0,0,1,0,0.07065249869203333
9,744.22,1,0,1,0,0,0,1,0,0,0,0,1,0.0649675781090672
3,99.25,1,0,1,0,0,0,0,1,0,0,1,0,0.0758521362602803
5,62.49,1,0,0,0,0,0,1,0,0,0,0,1,0.07551023716598981
4,72.66,0,1,1,1,2,0,0,1,0,0,1,0,0.0764255048940686
10,333.65,0,1,0,0,0,0,0,1,0,0,0,1,0.07604829423549707
7,340.18,0,1,0,0,0,0,0,0,1,0,1,0,0.07873620211604915
10,62.63,0,1,1,1,2,0,0,1,0,0,1,0,0.07018712408640417
5,283.55,1,0,1,0,0,0,0,0,1,0,1,0,0.07705323819504081
9,54.34,1,0,0,1,3,1,0,1,0,0,1,0,0.07419580658772897
5,247.82,1,0,0,1,2,0,0,0,1,0,1,0,0.07425336689835174
11,178.56,1,0,0,1,2,0,0,0,1,0,1,0,0.06480872199775255
2,86.38,1,0,1,1,2,0,0,0,1,0,0,1,0.0727343917150458
7,233.4,1,1,0,0,0,0,0,0,1,1,0,0,0.1132101739321881
1,1524.15,1,0,1,0,0,0,1,0,0,0,0,1,0.06284259537115583
10,57.71,0,1,0,1,2,0,0,1,0,0,0,1,0.07557427873176567
4,410.86,0,1,0,0,0,0,0,0,1,0,0,1,0.08582201035409924
6,40.24,1,0,1,1,2,0,0,1,0,0,1,0,0.06171410877047473
9,535.17,0,1,1,1,2,0,0,1,0,0,0,1,0.07054284994550875
3,584.63,1,1,1,0,0,0,0,1,0,0,0,1,0.12254912404807913
1,29.99,1,0,1,1,2,0,0,0,1,0,1,0,0.07195601372350466
5,119.47,1,0,0,0,0,0,0,1,0,0,1,0,0.07115271840734978
7,68.86,0,1,0,0,0,0,0,1,0,0,1,0,0.06748163477289851
3,68.81,0,1,0,1,2,0,0,0,1,0,1,0,0.07462262285419348
9,165.62,0,1,0,0,0,0,0,0,1,0,0,1,0.07657157904570336
1,686.08,1,1,1,0,0,0,0,0,1,0,0,1,0.12723781324810904
7,145.89,0,1,0,0,0,0,0,0,1,0,1,0,0.06986339507895546
5,964.59,0,1,1,0,0,0,0,1,0,0,1,0,0.07742468421937912
7,578.35,0,1,1,1,3,1,0,1,0,0,0,1,0.07919401525824103
7,93.33,1,0,0,0,0,0,0,0,1,0,0,1,0.07366245032814216
5,42.3,0,1,0,0,0,0,0,0,1,0,1,0,0.06533558579896553
4,474.94,0,1,1,1,2,0,0,0,1,0,0,1,0.08768136721700945
7,291.88,1,0,0,0,0,0,0,0,1,1,0,0,0.08908749318325324
6,32.17,1,0,1,1,2,0,0,0,1,0,1,0,0.06367983610258743
1,200.26,1,0,0,0,0,0,0,1,0,1,0,0,0.07714886207715307
8,1137.96,0,1,1,1,2,0,0,1,0,0,1,0,0.06357886020635735
9,51.53,1,0,1,0,0,0,0,1,0,0,1,0,0.06807672577634982
3,177.36,0,1,1,1,2,0,0,1,0,0,0,1,0.07810843405939519
9,34.75,1,0,1,0,0,0,0,0,1,0,0,1,0.07238595926887037
8,402.84,1,0,0,0,0,0,0,1,0,0,1,0,0.08448320766013373
1,276.21,1,0,0,0,0,0,0,1,0,0,1,0,0.07198626360794502
1,960.02,1,1,1,0,1,1,1,0,0,0,0,1,0.08388537222539491
1,100.92,0,1,1,0,0,0,0,0,1,0,0,1,0.07875598744551794
7,348.44,0,1,1,1,2,0,0,1,0,0,0,1,0.07434574238472393
11,29.99,0,1,0,1,2,0,1,0,0,0,0,1,0.0785918645786825
3,216.08,0,1,0,0,0,0,0,0,1,0,1,0,0.07889326063501945
9,129.46,1,0,1,1,2,0,0,0,1,0,1,0,0.06582237748171293
4,218.92,0,1,0,1,3,1,0,1,0,0,0,1,0.0761396211945065
3,109.34,0,1,0,1,2,0,0,1,0,0,1,0,0.0757931459665574
2,32.18,1,0,1,1,2,0,0,1,0,0,0,1,0.059802285486594525
7,287.73,1,1,0,0,1,1,0,0,1,0,0,1,0.12329533335800108
4,29.99,0,1,1,0,0,0,0,0,1,0,1,0,0.06620251866256184
12,98.17,0,1,1,0,0,0,0,1,0,0,0,1,0.07356791733556671
5,728.99,1,0,1,1,2,0,0,0,1,0,0,1,0.08521047604276205
9,483.16,1,1,0,1,3,1,0,0,1,0,1,0,0.11362187283502218
4,93.36,1,0,1,0,0,0,0,1,0,0,1,0,0.07262838899310452
2,542.34,0,1,1,0,0,0,0,0,1,0,1,0,0.09258153082817885
9,44.68,1,0,0,0,0,0,0,0,1,0,1,0,0.08491428267937658
2,188.03,1,0,1,0,0,0,0,0,1,0,1,0,0.07733545236598967
1,132.46,1,0,0,0,0,0,0,0,1,0,1,0,0.08744723063742316
8,167.05,0,1,0,0,0,0,0,0,1,0,1,0,0.07187744530820486
3,179.31,0,1,0,0,0,0,0,0,1,0,0,1,0.0776303521240552
1,290.03,1,1,0,0,1,1,0,0,1,0,0,1,0.12621314709168927
1,89.59,0,1,1,1,2,0,0,1,0,0,0,1,0.08057701932416333
2,851.45,1,1,1,0,1,1,1,0,0,0,0,1,0.09403438422059521
1,248.43,1,0,1,0,0,0,0,1,0,0,1,0,0.08286292280737838
3,141.2,0,1,1,0,0,0,0,1,0,0,1,0,0.08017097961561764
7,29.99,1,0,0,0,0,0,0,0,1,0,0,1,0.06942072681835687
6,113.6,1,0,1,0,0,0,0,1,0,0,1,0,0.06634718088864681
9,302.52,1,0,0,1,2,0,0,0,1,0,1,0,0.08844723374515004
3,73.99,0,1,0,0,0,0,0,1,0,0,1,0,0.07364872788893342
1,79.5,0,1,0,0,0,0,0,1,0,0,0,1,0.08077097809357281
12,103.6,1,0,0,0,0,0,1,0,0,0,1,0,0.0745652058222284
1,137.29,0,1,0,0,0,0,0,0,1,0,1,0,0.08379282811935077
6,114.74,1,0,0,0,1,1,0,0,1,0,0,1,0.07497422508084331
5,29.99,0,1,0,1,2,0,0,0,1,0,0,1,0.06440502854218313
1,386.11,1,1,0,1,2,0,0,0,1,1,0,0,0.12294804649562116
8,45.78,1,0,0,0,0,0,0,1,0,0,1,0,0.06573611750718181
6,358.77,0,1,0,0,0,0,0,1,0,0,0,1,0.07762990102046748
5,141.74,1,0,0,0,0,0,0,1,0,0,0,1,0.07182732335640529
9,205.33,1,0,1,1,2,0,0,1,0,1,0,0,0.06342492358186012
1,629.85,1,0,1,1,3,1,0,0,1,0,0,1,0.09622907567325445
9,383.77,0,1,1,1,3,1,0,1,0,0,1,0,0.07516586594702633
6,64.33,1,0,0,0,1,1,1,0,0,0,0,1,0.07300241012397447
12,63.28,1,0,1,1,2,0,0,0,1,0,1,0,0.0688620116894611
6,108.83,1,0,0,1,2,0,0,0,1,0,1,0,0.07330491779231527
4,121.87,1,0,0,0,0,0,1,0,0,0,0,1,0.08075048961618733
10,489.29,0,1,0,1,2,0,0,1,0,0,1,0,0.07254885968555257
2,199.97,0,1,0,1,2,0,0,1,0,0,1,0,0.077850374857205
4,614.83,1,0,1,0,0,0,0,0,1,1,0,0,0.08259646934354663
9,199.38,0,1,1,1,2,0,0,0,1,0,1,0,0.07339861412650643
4,224.04,1,0,0,0,0,0,0,0,1,0,0,1,0.08365950929990214
3,66.47,1,0,1,1,2,0,1,0,0,0,0,1,0.07455411375751243
9,33.63,0,1,0,0,0,0,1,0,0,0,1,0,0.07897774434907183
2,109.81,1,0,1,0,1,1,0,0,1,0,0,1,0.07382738036903182
10,161.43,0,1,1,0,1,1,0,1,0,0,0,1,0.06540987474300525
12,90.15,1,0,0,1,2,0,0,1,0,0,0,1,0.07614590548528184
1,681.12,1,0,1,1,2,0,1,0,0,0,1,0,0.08230915520080131
9,198.54,0,1,0,0,0,0,0,0,1,0,1,0,0.07741953764743298
11,301.0,1,1,1,0,0,0,0,1,0,0,0,1,0.10276062903498366
2,378.5,0,1,0,1,3,1,0,0,1,0,0,1,0.083001621417943
10,131.95,0,1,0,0,1,1,0,1,0,0,1,0,0.07516207918791472
10,375.34,1,0,0,0,0,0,1,0,0,0,0,1,0.07710634189392476
1,286.31,1,1,0,0,0,0,0,1,0,0,0,1,0.11964099762511865
7,600.13,1,1,1,0,0,0,0,0,1,0,1,0,0.11912019884970565
6,107.42,0,1,1,0,0,0,0,0,1,0,0,1,0.06988965971447947
2,102.99,0,1,0,0,0,0,0,1,0,0,1,0,0.0761126260552672
7,297.6,1,0,0,0,0,0,0,1,0,0,0,1,0.08461375193583977
1,783.8,1,1,1,0,0,0,0,1,0,0,0,1,0.10461212885531682
9,89.96,1,0,0,1,3,1,0,1,0,0,0,1,0.07205976935352305
8,155.75,0,1,1,0,0,0,0,0,1,0,1,0,0.06809090004750985
8,135.67,1,0,1,1,2,0,1,0,0,0,0,1,0.06685768817811158
9,404.03,1,1,0,0,0,0,0,0,1,1,0,0,0.11683460727401221
1,155.65,1,0,0,0,0,0,0,0,1,0,0,1,0.08084386733852222
12,36.67,0,1,0,1,3,1,0,0,1,0,0,1,0.07778360952511279
1,563.7,1,0,1,1,2,0,0,1,0,1,0,0,0.08926748320732744
6,265.2,1,0,0,1,2,0,0,1,0,0,1,0,0.06949203603169793
1,357.56,0,1,0,0,0,0,0,1,0,0,1,0,0.07507685671875462
