,price_doc,full_sq,life_sq,num_room,kitch_sq
9523,12500000,68,30.0,2.0,11.0
9527,9000000,50,28.0,2.0,7.0
9533,5200000,41,25.0,2.0,4.0
9541,13600000,83,47.0,3.0,11.0
9546,5500000,36,34.0,1.0,8.0
9552,15100000,78,51.0,3.0,9.0
9572,6450000,32,18.0,1.0,6.0
9574,6900000,43,27.0,2.0,5.0
9581,5550000,46,28.0,2.0,5.0
9583,8500000,45,28.0,2.0,6.0
9593,7400000,37,19.0,1.0,8.0
9597,9000000,54,31.0,2.0,8.0
9605,3700000,17,10.0,1.0,3.0
9612,6400000,32,16.0,1.0,7.0
9621,5870000,34,20.0,2.0,6.0
9635,4900000,32,18.0,1.0,6.0
9636,1000000,24,16.0,1.0,3.0
9651,7349000,41,20.0,1.0,8.0
9670,6900000,50,33.0,2.0,6.0
9678,16000000,85,54.0,3.0,10.0
9683,6700000,34,21.0,2.0,6.0
9686,6000000,36,18.0,1.0,6.0
9690,16737531,80,35.0,2.0,14.0
9694,3000000,82,60.0,3.0,4.0
9696,7750000,31,18.0,2.0,3.0
9703,1000000,38,22.0,2.0,7.0
9718,6800000,45,29.0,2.0,6.0
9722,2000000,44,29.0,2.0,5.0
9723,11000000,64,43.0,3.0,6.0
9725,6500000,45,28.0,2.0,5.0
9728,6900000,43,28.0,2.0,5.0
9729,16150000,79,45.0,3.0,12.0
9731,6050000,32,32.0,1.0,6.0
9732,5250000,44,26.0,2.0,6.0
9737,3000000,60,38.0,2.0,8.0
9743,7100000,46,30.0,2.0,5.0
9746,1000000,34,19.0,1.0,9.0
9747,12000000,73,44.0,3.0,10.0
9748,6000000,39,19.0,1.0,8.0
9753,9800000,59,42.0,3.0,6.0
9759,2000000,57,29.0,2.0,9.0
9765,7000000,37,35.0,1.0,1.0
9774,5200000,37,23.0,2.0,6.0
9786,8600000,47,19.0,1.0,12.0
9796,11000000,41,17.0,1.0,9.0
9802,4945000,30,18.0,1.0,5.0
9810,7580000,37,21.0,1.0,5.0
9816,6250000,41,25.0,2.0,5.0
9824,5500000,41,23.0,2.0,5.0
9826,7500000,40,27.0,2.0,5.0
9830,2000000,51,50.0,3.0,5.0
9836,13800000,79,44.0,3.0,10.0
9838,7400000,60,37.0,3.0,8.0
9842,1000000,45,28.0,2.0,5.0
9845,2000000,45,31.0,2.0,5.0
9850,6500000,37,23.0,2.0,7.0
9853,7400000,46,28.0,2.0,5.0
9870,2000000,82,56.0,3.0,9.0
9872,5000000,58,31.0,2.0,7.0
9874,7800000,49,32.0,2.0,8.0
9885,7000000,50,29.0,2.0,8.0
9890,9300000,58,32.0,2.0,10.0
9904,7950000,44,27.0,2.0,6.0
9908,1000000,39,23.0,2.0,6.0
9911,1400000,38,19.0,1.0,7.0
9913,7500000,44,31.0,2.0,5.0
9914,9500000,54,35.0,3.0,6.0
9915,6500000,42,26.0,2.0,5.0
9924,3000000,97,56.0,3.0,10.0
9930,18000000,74,45.0,3.0,10.0
9931,1000000,45,29.0,2.0,6.0
9932,2000000,30,16.0,1.0,6.0
9938,7100000,40,20.0,1.0,8.0
9939,7000000,66,44.0,3.0,9.0
9940,6900000,44,28.0,2.0,5.0
9942,7500000,60,44.0,3.0,6.0
9950,7400000,59,43.0,3.0,6.0
9951,8300000,85,55.0,3.0,12.0
9960,4950000,43,28.0,2.0,6.0
9965,9600000,54,30.0,2.0,5.0
9966,11600000,43,29.0,2.0,5.0
9973,6200000,41,25.0,2.0,5.0
9978,19500000,86,66.0,4.0,5.0
9980,10340000,60,44.0,3.0,5.0
9983,8470000,45,30.0,2.0,5.0
9988,6400000,38,23.0,2.0,6.0
9994,8700000,31,17.0,1.0,7.0
9996,5450000,30,18.0,1.0,6.0
10006,15713000,71,48.0,3.0,8.0
10007,5500000,28,16.0,1.0,5.0
10016,4650000,30,18.0,1.0,5.0
10017,9100000,74,45.0,3.0,10.0
10020,10600000,56,42.0,3.0,6.0
10026,9350000,52,51.0,2.0,9.0
10033,18500000,79,40.0,3.0,10.0
10036,13830094,69,69.0,3.0,19.0
10039,6300000,43,29.0,2.0,5.0
10043,3000000,44,29.0,2.0,5.0
10057,2000000,31,21.0,1.0,5.0
10063,4500000,101,55.0,3.0,13.0
10072,7400000,45,28.0,2.0,5.0
10083,15774750,80,41.0,2.0,13.0
10089,9000000,37,16.0,1.0,9.0
10091,7500000,39,18.0,1.0,8.0
10092,7200000,43,27.0,2.0,6.0
10093,6900000,39,23.0,2.0,7.0
10094,19000000,138,81.0,3.0,14.0
10096,7500000,36,18.0,1.0,6.0
10098,6650000,46,28.0,2.0,6.0
10100,17750000,92,51.0,3.0,10.0
10103,6700000,38,20.0,1.0,8.0
10115,1628742,44,40.0,1.0,10.0
10118,7200000,44,29.0,2.0,5.0
10121,7150000,47,29.0,2.0,6.0
10127,3000000,32,21.0,1.0,5.0
10128,6500000,37,19.0,1.0,7.0
10129,6500000,30,18.0,1.0,5.0
10138,12153189,81,57.0,1.0,14.0
10144,8950000,69,44.0,3.0,9.0
10149,5000000,44,27.0,2.0,6.0
10155,8150000,50,33.0,2.0,6.0
10163,8380000,56,41.0,3.0,5.0
10167,9050000,59,33.0,2.0,10.0
10175,7600000,49,33.0,3.0,5.0
10180,1000000,45,28.0,2.0,6.0
10189,6498537,37,37.0,1.0,1.0
10192,4550000,35,20.0,1.0,5.0
10200,1000000,42,20.0,1.0,8.0
10203,5500000,35,19.0,1.0,9.0
10208,12450000,78,44.0,3.0,12.0
10211,18250000,121,59.0,3.0,13.0
10220,6300000,37,19.0,1.0,8.0
10225,11150000,76,45.0,3.0,10.0
10228,12300000,45,28.0,2.0,8.0
10237,7150000,44,28.0,2.0,6.0
10242,4100000,23,16.0,1.0,3.0
10246,9000000,54,32.0,2.0,9.0
10248,8750000,35,18.0,1.0,8.0
10249,4400000,29,17.0,1.0,5.0
10250,5000000,35,19.0,1.0,8.0
10264,12400000,72,43.0,3.0,9.0
10268,2000000,46,28.0,2.0,6.0
10272,26244908,139,78.0,4.0,17.0
10273,11450000,53,28.0,2.0,11.0
10274,8498876,47,47.0,1.0,12.0
10285,16250000,73,51.0,3.0,8.0
10295,44848000,133,124.0,1.0,1.0
10296,13500000,81,45.0,3.0,10.0
10298,12300000,58,29.0,2.0,10.0
10303,7100000,40,17.0,1.0,8.0
10311,6000000,21,13.0,1.0,3.0
10314,4200000,94,55.0,3.0,13.0
10315,10500000,54,32.0,2.0,9.0
10317,7200000,41,29.0,2.0,4.0
10327,6550000,37,18.0,1.0,9.0
10333,4900000,32,18.0,1.0,6.0
10335,1500000,55,31.0,2.0,8.0
10345,17516236,83,41.0,2.0,16.0
10350,6600000,50,30.0,2.0,8.0
10352,8900000,52,19.0,2.0,6.0
10353,8500000,65,63.0,3.0,7.0
10356,7100000,42,38.0,1.0,1.0
10357,6000000,39,20.0,1.0,8.0
10360,5600000,34,14.0,1.0,10.0
10361,10700000,69,47.0,3.0,8.0
10366,9000000,39,20.0,1.0,10.0
10367,6400000,44,28.0,2.0,6.0
10373,7100000,37,23.0,2.0,5.0
10376,11000000,58,42.0,3.0,7.0
10377,12400000,73,43.0,3.0,10.0
10379,3725000,24,16.0,1.0,3.0
10381,6650000,39,18.0,1.0,8.0
10383,7400000,43,27.0,2.0,5.0
10388,5900000,39,21.0,1.0,8.0
10392,22300000,96,51.0,3.0,11.0
10393,5824170,61,56.0,2.0,1.0
10394,7000000,36,19.0,1.0,6.0
10400,9250000,56,40.0,3.0,4.0
10402,7300000,59,37.0,3.0,6.0
10405,6400000,37,22.0,2.0,7.0
10407,5650000,41,21.0,1.0,8.0
10410,5400000,34,20.0,2.0,6.0
10414,15000000,93,51.0,3.0,14.0
10416,4900000,29,15.0,1.0,5.0
10422,7600000,51,34.0,3.0,5.0
10424,12700000,77,45.0,3.0,10.0
10431,5000000,38,20.0,1.0,8.0
10435,5300000,30,18.0,1.0,5.0
10436,5500000,35,20.0,1.0,6.0
10440,1100000,41,21.0,1.0,21.0
10441,7900000,58,42.0,3.0,5.0
10447,8500000,37,22.0,2.0,7.0
10448,7150000,49,49.0,2.0,7.0
10453,9700000,72,45.0,3.0,9.0
10462,6000000,45,28.0,2.0,5.0
10463,1000000,35,20.0,1.0,10.0
10466,7000000,38,37.0,2.0,7.0
10472,5990000,40,19.0,1.0,8.0
10473,4500000,32,18.0,1.0,6.0
10478,9000000,38,20.0,1.0,10.0
10482,7300000,46,30.0,2.0,6.0
10483,14600000,84,55.0,3.0,8.0
10485,1000000,66,44.0,3.0,9.0
10490,5200000,30,18.0,1.0,4.0
10492,16400000,71,46.0,3.0,8.0
10494,8500000,53,32.0,2.0,9.0
10496,6000000,58,34.0,2.0,10.0
10497,9000000,56,34.0,2.0,6.0
10498,7150000,45,28.0,2.0,6.0
10499,2000000,43,28.0,2.0,5.0
10509,6700000,38,20.0,1.0,8.0
10510,3000000,47,30.0,2.0,6.0
10513,5600000,32,20.0,1.0,5.0
10516,6400000,37,22.0,2.0,7.0
10527,5950000,40,27.0,2.0,5.0
10534,5600000,43,27.0,2.0,5.0
10539,1000000,59,13.0,2.0,20.0
10540,7200000,63,60.0,3.0,8.0
10547,10000000,57,30.0,2.0,12.0
10552,7000000,118,57.0,3.0,17.0
10553,3000000,38,23.0,2.0,7.0
10558,5200000,28,12.0,1.0,5.0
10560,9015000,41,22.0,1.0,8.0
10565,13750000,76,45.0,3.0,10.0
10574,5050000,35,19.0,1.0,7.0
10578,18250000,78,53.0,3.0,8.0
10580,4750000,31,20.0,1.0,5.0
10583,8500000,58,30.0,2.0,9.0
10587,9590000,100,70.0,4.0,9.0
10591,3890000,52,30.0,2.0,8.0
10594,7176060,82,50.0,3.0,11.0
10596,15000000,47,29.0,2.0,7.0
10598,990000,29,17.0,1.0,5.0
10601,22315422,126,126.0,3.0,12.0
10605,7550000,53,30.0,2.0,8.0
10607,15000000,84,47.0,2.0,13.0
10618,9700000,64,46.0,4.0,5.0
10619,7050000,60,42.0,3.0,6.0
10621,9100000,50,30.0,2.0,8.0
10622,8300000,58,34.0,2.0,10.0
10625,10050000,59,44.0,3.0,5.0
10628,4608360,40,18.0,1.0,0.0
10629,990000,44,28.0,2.0,6.0
10632,7000000,54,32.0,2.0,9.0
10633,6200000,44,29.0,2.0,5.0
10634,5260000,78,40.0,2.0,15.0
10636,7000000,75,36.0,2.0,12.0
10637,6300000,38,18.0,1.0,8.0
10639,1000000,44,29.0,2.0,5.0
10643,5900000,45,28.0,2.0,5.0
10644,7000000,37,23.0,2.0,6.0
10648,15300000,81,49.0,4.0,11.0
10650,22900000,87,56.0,4.0,8.0
10665,10921680,58,58.0,2.0,0.0
10682,6900000,46,29.0,2.0,6.0
10691,21000000,155,110.0,3.0,20.0
10692,7300000,45,30.0,2.0,6.0
10694,30264000,116,64.0,3.0,15.0
10696,1200000,43,24.0,1.0,6.0
10697,5500000,32,17.0,1.0,6.0
10698,10350000,63,43.0,3.0,9.0
10700,10500000,65,43.0,3.0,7.0
10701,13400000,84,52.0,3.0,11.0
10704,5903808,60,60.0,2.0,1.0
10705,10400000,67,43.0,3.0,7.0
10708,1000000,31,21.0,1.0,5.0
10712,1000000,33,22.0,1.0,5.0
10714,7300000,39,20.0,1.0,10.0
10717,13400580,76,41.0,2.0,13.0
10719,6000000,28,16.0,1.0,5.0
10720,7300000,43,29.0,2.0,5.0
10726,6300000,45,28.0,2.0,5.0
10735,6000000,46,27.0,2.0,5.0
10738,14500000,77,43.0,2.0,8.0
10746,3362009,40,40.0,1.0,1.0
10747,7500000,35,19.0,1.0,9.0
10749,23700000,102,49.0,4.0,16.0
10752,36000000,143,67.0,3.0,18.0
10759,4800000,32,20.0,1.0,5.0
10764,9000000,66,44.0,3.0,9.0
10772,2800000,62,39.0,3.0,8.0
10773,10300000,72,44.0,3.0,10.0
10774,13300000,82,44.0,3.0,10.0
10776,5000000,37,22.0,2.0,7.0
10779,7000000,45,22.0,1.0,8.0
10780,7800000,44,27.0,2.0,5.0
10783,5292183,60,60.0,2.0,0.0
10796,1200000,37,18.0,1.0,7.0
10802,1500000,32,19.0,1.0,5.0
10809,14068129,77,77.0,2.0,1.0
10811,6492000,38,23.0,2.0,6.0
10812,5200000,38,19.0,1.0,10.0
10814,3000000,40,15.0,1.0,9.0
10826,4630000,28,15.0,1.0,5.0
10828,5500000,32,21.0,1.0,5.0
10832,6700000,45,18.0,1.0,8.0
10834,6600000,56,38.0,3.0,5.0
10837,10600000,75,44.0,3.0,10.0
10838,14406287,83,83.0,2.0,10.0
10839,13300000,67,34.0,2.0,11.0
10843,6700000,37,19.0,1.0,10.0
10845,19250000,91,56.0,3.0,11.0
10849,10132597,51,51.0,2.0,1.0
10852,5300000,44,18.0,2.0,6.0
10854,6000000,37,18.0,1.0,7.0
10858,23191970,126,126.0,3.0,1.0
10859,13500000,74,44.0,3.0,10.0
10863,9600000,58,36.0,3.0,6.0
10864,6250000,46,29.0,2.0,6.0
10865,6200000,45,28.0,2.0,5.0
10866,15000000,54,32.0,2.0,9.0
10875,5416000,85,52.0,3.0,8.0
10878,2000000,44,27.0,2.0,5.0
10882,12800000,74,45.0,3.0,10.0
10885,5800000,38,23.0,2.0,6.0
10890,5900000,32,18.0,1.0,5.0
10892,2000000,33,20.0,1.0,5.0
10893,6815000,44,28.0,2.0,5.0
10897,5550000,40,24.0,2.0,5.0
10901,15000000,73,51.0,3.0,7.0
10902,5000000,38,20.0,1.0,8.0
10910,17386002,106,106.0,3.0,1.0
10912,6000000,38,21.0,2.0,7.0
10913,3000000,51,30.0,2.0,8.0
10918,5750000,38,19.0,1.0,8.0
10919,11200000,63,33.0,2.0,12.0
10920,7250000,40,24.0,2.0,5.0
10922,7950000,49,29.0,2.0,7.0
10923,5200000,32,18.0,1.0,5.0
10929,2000000,112,70.0,5.0,12.0
10933,9200000,58,32.0,2.0,10.0
10934,6350000,44,29.0,2.0,5.0
10935,6200000,45,28.0,2.0,5.0
10940,6500000,62,42.0,3.0,6.0
10943,21250000,74,35.0,2.0,13.0
10944,13000000,79,47.0,3.0,8.0
10949,5850369,70,70.0,2.0,1.0
10950,4000000,56,36.0,3.0,5.0
10959,5000000,29,17.0,1.0,4.0
10960,7900000,59,43.0,3.0,6.0
10965,8500000,39,20.0,1.0,10.0
10966,990000,33,19.0,1.0,6.0
10968,5800000,31,21.0,1.0,5.0
10969,5500000,34,22.0,2.0,6.0
10971,8500000,54,42.0,3.0,5.0
10973,8300000,39,23.0,2.0,7.0
10974,7500000,38,19.0,1.0,10.0
10979,9800000,55,40.0,3.0,5.0
10980,7600000,40,26.0,2.0,5.0
10981,7500000,42,26.0,2.0,4.0
10986,1000000,31,18.0,1.0,5.0
10989,5500000,32,18.0,1.0,6.0
10997,9100000,63,43.0,3.0,6.0
10999,7850000,44,18.0,1.0,11.0
11001,5600000,38,18.0,1.0,7.0
11003,6400000,36,17.0,1.0,6.0
11008,6400000,38,19.0,1.0,10.0
11013,8200000,38,19.0,1.0,8.0
11017,2500000,14,13.0,3.0,8.0
11024,6200000,28,15.0,1.0,5.0
11028,8358158,48,20.0,1.0,11.0
11029,990000,44,28.0,2.0,5.0
11032,9000000,53,35.0,3.0,6.0
11037,18300000,93,60.0,4.0,10.0
11038,5100000,32,20.0,1.0,5.0
11039,7000000,38,19.0,1.0,9.0
11040,6600000,39,23.0,2.0,6.0
11042,12282502,74,74.0,2.0,1.0
11043,7360000,77,50.0,2.0,10.0
11047,9750000,54,21.0,1.0,13.0
11048,6800000,30,18.0,1.0,5.0
11052,7130000,25,16.0,1.0,4.0
11053,9750000,55,35.0,2.0,8.0
11055,6200000,47,27.0,2.0,5.0
11057,10400000,50,33.0,2.0,6.0
11058,6300000,35,19.0,1.0,9.0
11059,7500000,40,26.0,2.0,5.0
11064,6200000,35,20.0,1.0,9.0
11065,10500000,64,43.0,3.0,6.0
11074,5600000,31,21.0,1.0,5.0
11076,7500000,42,28.0,2.0,5.0
11078,3850000,30,17.0,1.0,5.0
11086,5200000,35,14.0,1.0,9.0
11088,2000000,78,43.0,3.0,12.0
11091,2000000,62,38.0,3.0,8.0
11093,5750000,37,19.0,1.0,8.0
11096,2750000,93,77.0,1.0,5.0
11097,7400000,60,33.0,2.0,10.0
11102,1000000,32,19.0,1.0,5.0
11103,14700000,114,67.0,3.0,16.0
11105,11150000,62,35.0,2.0,8.0
11112,13386350,74,74.0,2.0,1.0
11114,7500000,35,21.0,1.0,6.0
11116,20751018,165,165.0,4.0,0.0
11119,8500000,59,38.0,3.0,6.0
11127,6500000,47,30.0,2.0,6.0
11131,12000000,95,64.0,4.0,8.0
11133,6200000,42,26.0,2.0,5.0
11136,10100000,58,34.0,2.0,10.0
11137,15500000,75,73.0,3.0,10.0
11138,13000000,99,70.0,4.0,9.0
11140,9400000,55,34.0,3.0,7.0
11143,5950000,31,18.0,1.0,5.0
11145,9800000,67,44.0,3.0,8.0
11147,5400000,43,29.0,2.0,5.0
11148,5700000,35,19.0,1.0,10.0
11153,6500000,43,29.0,2.0,6.0
11154,8000000,45,29.0,2.0,6.0
11158,6000000,30,16.0,1.0,5.0
11159,3250000,38,37.0,1.0,8.0
11161,5500000,43,29.0,2.0,5.0
11162,9200000,68,45.0,3.0,6.0
11164,6100000,41,25.0,2.0,5.0
11172,2000000,47,45.0,2.0,6.0
11175,4600000,34,18.0,1.0,9.0
11184,14500000,50,31.0,2.0,7.0
11190,10800000,71,44.0,3.0,9.0
11197,5700000,43,28.0,2.0,5.0
11199,6800000,45,28.0,2.0,6.0
11201,5990000,32,18.0,1.0,6.0
11203,6600000,32,18.0,1.0,6.0
11205,7550000,63,45.0,3.0,7.0
11206,8000000,43,24.0,2.0,8.0
11214,5000000,37,19.0,1.0,8.0
11217,2500000,32,21.0,1.0,5.0
11219,6800000,35,14.0,1.0,10.0
11221,6500000,38,22.0,2.0,6.0
11223,16700000,76,45.0,3.0,10.0
11225,6950000,30,18.0,1.0,5.0
11229,9750000,66,37.0,3.0,5.0
11230,4600000,53,30.0,2.0,8.0
11231,5500000,35,20.0,1.0,9.0
11232,7000000,54,32.0,2.0,9.0
11234,6350000,41,20.0,1.0,8.0
11235,5720000,38,22.0,2.0,7.0
11250,9200000,48,30.0,2.0,8.0
11254,6000000,45,28.0,2.0,5.0
11255,1200000,36,19.0,1.0,7.0
11259,13540000,76,54.0,3.0,7.0
11261,10500000,53,23.0,2.0,10.0
11267,11150000,57,33.0,2.0,8.0
11268,7300000,56,33.0,3.0,6.0
11270,6500000,37,19.0,1.0,9.0
11274,1000000,58,30.0,2.0,7.0
11275,8050000,55,41.0,3.0,5.0
11277,6100000,43,29.0,2.0,5.0
11278,6500000,86,60.0,3.0,8.0
11282,9000000,44,27.0,2.0,6.0
11283,4398000,144,92.0,4.0,12.0
11287,5800000,46,29.0,2.0,5.0
11292,10500000,54,51.0,2.0,8.0
11298,9900000,51,31.0,2.0,9.0
11300,2345000,56,30.0,2.0,12.0
11308,3200000,59,44.0,3.0,6.0
11310,4950000,31,19.0,1.0,5.0
11313,7600000,51,33.0,3.0,6.0
11315,6400000,40,20.0,1.0,8.0
11327,8650000,60,44.0,3.0,6.0
11329,3000000,80,52.0,2.0,11.0
11331,10400000,54,28.0,2.0,11.0
11334,12300000,63,38.0,3.0,8.0
11337,8000000,38,19.0,1.0,10.0
11339,7600000,43,29.0,2.0,5.0
11344,7396800,79,41.0,3.0,1.0
11345,2100000,52,30.0,2.0,8.0
11349,7850000,58,44.0,3.0,5.0
11351,15325000,63,41.0,3.0,8.0
11354,13300000,77,41.0,2.0,13.0
11356,6800000,41,23.0,2.0,5.0
11359,5825000,38,17.0,1.0,10.0
11360,14500000,74,45.0,3.0,10.0
11361,1000000,32,20.0,1.0,5.0
11363,9400000,63,37.0,3.0,8.0
11369,5000000,36,17.0,1.0,10.0
11371,2000000,53,35.0,3.0,5.0
11374,4735000,34,19.0,1.0,9.0
11376,7300000,52,33.0,3.0,6.0
11377,6100000,47,46.0,2.0,6.0
11378,9700000,63,36.0,2.0,8.0
11384,9300000,37,22.0,2.0,7.0
11386,6500000,45,30.0,2.0,5.0
11388,6250000,35,19.0,1.0,9.0
11389,1000000,51,33.0,2.0,7.0
11402,12800000,67,33.0,2.0,11.0
11403,7150000,44,44.0,2.0,6.0
11407,13500000,55,34.0,2.0,8.0
11408,6100000,45,28.0,2.0,5.0
11409,8000000,54,28.0,2.0,11.0
11412,5000000,38,19.0,1.0,8.0
11416,60000000,202,115.0,5.0,12.0
11417,1100000,31,21.0,1.0,5.0
11421,5500000,34,19.0,1.0,9.0
11424,5800000,38,20.0,1.0,8.0
11425,5100000,38,20.0,1.0,8.0
11428,2000000,31,16.0,1.0,9.0
11429,5900000,39,21.0,1.0,8.0
11430,9050000,42,25.0,2.0,6.0
11438,4590000,32,21.0,1.0,5.0
11440,11000000,74,43.0,3.0,13.0
11441,2000000,54,32.0,2.0,9.0
11442,19500000,82,54.0,3.0,10.0
11446,8300000,40,7.0,2.0,7.0
11454,10320000,83,44.0,3.0,10.0
11456,2000000,56,34.0,2.0,8.0
11457,4945261,47,47.0,1.0,1.0
11458,8500000,49,31.0,1.0,8.0
11461,5250000,31,19.0,2.0,5.0
11466,4450000,32,20.0,1.0,5.0
11471,8150000,54,30.0,2.0,8.0
11472,11850000,66,45.0,3.0,9.0
11475,9300000,66,39.0,3.0,9.0
11476,6600000,41,26.0,2.0,5.0
11479,6700000,45,30.0,2.0,5.0
11480,4600000,36,18.0,1.0,7.0
11485,1700000,51,32.0,2.0,7.0
11487,6800000,41,20.0,1.0,8.0
11494,7250000,38,23.0,2.0,6.0
11496,5310000,30,18.0,1.0,5.0
11498,9500000,38,22.0,2.0,7.0
11501,7958800,37,37.0,1.0,1.0
11504,5600000,30,19.0,1.0,5.0
11506,18300000,90,55.0,4.0,10.0
11508,6200000,38,20.0,1.0,8.0
11515,1000000,46,28.0,2.0,5.0
11517,6200000,45,32.0,2.0,5.0
11519,11400000,68,44.0,3.0,9.0
11521,2000000,40,26.0,2.0,5.0
11524,4300000,30,17.0,1.0,5.0
11525,11000000,59,31.0,2.0,7.0
11533,5080000,31,18.0,1.0,6.0
11536,1000000,43,43.0,2.0,5.0
11538,1000000,49,32.0,2.0,8.0
11539,5900000,34,21.0,2.0,5.0
11541,5500000,31,17.0,1.0,6.0
11545,10300000,54,36.0,3.0,5.0
11554,5000000,31,30.0,1.0,5.0
11557,7500000,42,21.0,1.0,8.0
11560,11500000,60,34.0,2.0,10.0
11576,6100000,41,25.0,2.0,5.0
11585,9800000,50,50.0,2.0,7.0
11587,10500000,97,53.0,3.0,12.0
11590,7800000,56,39.0,3.0,5.0
11604,6700000,56,37.0,3.0,6.0
11607,4200000,20,12.0,1.0,2.0
11608,7300000,30,17.0,1.0,6.0
11610,2400000,91,52.0,3.0,11.0
11614,6400000,45,28.0,2.0,5.0
11615,7879212,37,37.0,1.0,1.0
11617,5500000,33,12.0,1.0,8.0
11618,7100000,45,30.0,2.0,5.0
11623,14600000,78,41.0,2.0,9.0
11627,13300000,66,46.0,3.0,7.0
11628,6850000,41,20.0,1.0,8.0
11629,3000000,57,30.0,2.0,9.0
11636,5000000,31,18.0,1.0,5.0
11637,6900000,37,19.0,1.0,8.0
11639,6500000,38,21.0,2.0,7.0
11646,5000000,30,16.0,1.0,6.0
11654,7900000,49,31.0,2.0,9.0
11657,12750000,77,52.0,3.0,9.0
11658,5450000,35,19.0,1.0,10.0
11660,7800000,42,25.0,2.0,6.0
11664,6200000,37,19.0,1.0,7.0
11665,9350000,54,52.0,2.0,8.0
11671,7900000,35,18.0,1.0,7.0
