customer_id,wealth_segment,deceased_indicator,owns_car,property_valuation
85,Mass Customer,N,No,11
86,High Net Worth,N,Yes,10
87,Mass Customer,N,No,9
88,High Net Worth,N,Yes,10
89,Mass Customer,N,Yes,10
90,Mass Customer,N,No,7
91,Affluent Customer,N,Yes,10
92,Mass Customer,N,No,11
93,Mass Customer,N,Yes,8
94,Mass Customer,N,No,10
95,Affluent Customer,N,Yes,9
96,Mass Customer,N,No,12
97,Mass Customer,N,Yes,10
98,Mass Customer,N,No,9
99,Mass Customer,N,No,12
100,Mass Customer,N,Yes,10
101,High Net Worth,N,No,10
102,Affluent Customer,N,No,9
103,Affluent Customer,N,Yes,12
104,Mass Customer,N,Yes,8
105,Mass Customer,N,No,11
106,High Net Worth,N,Yes,8
107,Mass Customer,N,Yes,12
108,High Net Worth,N,No,11
109,Affluent Customer,N,Yes,4
110,Affluent Customer,N,No,9
111,Mass Customer,N,No,1
112,High Net Worth,N,No,8
113,Mass Customer,N,No,6
114,Affluent Customer,N,No,10
115,Mass Customer,N,No,7
116,Affluent Customer,N,Yes,2
117,Mass Customer,N,No,9
118,High Net Worth,N,No,2
119,High Net Worth,N,Yes,8
120,High Net Worth,N,Yes,8
121,Mass Customer,N,No,10
122,Mass Customer,N,Yes,4
123,High Net Worth,N,No,1
124,High Net Worth,N,Yes,5
125,Mass Customer,N,No,9
126,Mass Customer,N,Yes,7
127,Mass Customer,N,No,3
128,Mass Customer,N,Yes,8
129,High Net Worth,N,Yes,1
130,Mass Customer,N,No,11
131,High Net Worth,N,No,6
132,Mass Customer,N,Yes,3
133,Mass Customer,N,Yes,10
134,Affluent Customer,N,Yes,9
135,Mass Customer,N,No,1
136,High Net Worth,N,Yes,9
137,High Net Worth,N,No,11
138,Affluent Customer,N,Yes,9
139,Affluent Customer,N,No,6
140,Mass Customer,N,No,3
141,High Net Worth,N,Yes,5
142,Affluent Customer,N,No,11
143,Mass Customer,N,Yes,11
144,Mass Customer,N,No,8
145,Mass Customer,N,No,7
146,Mass Customer,N,No,7
147,Mass Customer,N,Yes,9
148,Mass Customer,N,Yes,12
149,Mass Customer,N,Yes,8
150,Affluent Customer,N,No,8
151,Mass Customer,N,Yes,10
152,Mass Customer,N,No,11
153,Mass Customer,N,Yes,8
154,Mass Customer,N,No,6
155,Mass Customer,N,No,10
156,Mass Customer,N,Yes,11
157,Affluent Customer,N,No,10
158,Affluent Customer,N,No,10
159,Affluent Customer,N,No,10
160,Mass Customer,N,No,4
161,Mass Customer,N,No,10
162,Mass Customer,N,No,4
163,High Net Worth,N,Yes,6
164,Affluent Customer,N,Yes,6
165,Mass Customer,N,Yes,9
166,Affluent Customer,N,No,8
167,High Net Worth,N,Yes,11
168,Affluent Customer,N,Yes,4
169,High Net Worth,N,Yes,8
170,High Net Worth,N,No,9
171,Mass Customer,N,No,11
172,Affluent Customer,N,Yes,8
173,Affluent Customer,N,No,5
174,Mass Customer,N,No,7
175,Affluent Customer,N,No,9
176,Mass Customer,N,No,8
177,High Net Worth,N,No,1
178,Affluent Customer,N,No,4
179,High Net Worth,N,Yes,10
180,Affluent Customer,N,No,1
181,Mass Customer,N,No,5
182,Affluent Customer,N,Yes,7
183,Affluent Customer,N,No,10
184,High Net Worth,N,Yes,11
185,Mass Customer,N,Yes,4
186,Mass Customer,N,No,9
187,Mass Customer,N,No,7
188,High Net Worth,N,Yes,6
189,Affluent Customer,N,No,7
190,Affluent Customer,N,No,5
191,Affluent Customer,N,Yes,9
192,Mass Customer,N,Yes,8
193,Mass Customer,N,Yes,12
194,Affluent Customer,N,No,7
195,Mass Customer,N,No,8
196,High Net Worth,N,No,2
197,High Net Worth,N,No,9
198,Mass Customer,N,No,5
199,Mass Customer,N,Yes,11
200,Affluent Customer,N,Yes,10
201,Mass Customer,N,Yes,9
202,Affluent Customer,N,Yes,9
203,Mass Customer,N,Yes,8
204,Mass Customer,N,No,7
205,Mass Customer,N,Yes,11
206,Mass Customer,N,Yes,9
207,Mass Customer,N,No,10
208,High Net Worth,N,No,4
209,Affluent Customer,N,Yes,4
210,Mass Customer,N,No,9
211,Mass Customer,N,Yes,3
212,Affluent Customer,N,No,10
213,High Net Worth,N,Yes,11
214,Mass Customer,N,No,8
215,High Net Worth,N,Yes,8
216,High Net Worth,N,Yes,8
217,High Net Worth,N,No,8
218,High Net Worth,N,Yes,11
219,Mass Customer,N,No,7
220,High Net Worth,N,No,12
221,Mass Customer,N,No,9
222,Mass Customer,N,No,7
223,Affluent Customer,N,Yes,9
224,Affluent Customer,N,No,7
225,Affluent Customer,N,No,10
226,Mass Customer,N,No,11
227,Mass Customer,N,No,10
228,High Net Worth,N,No,9
229,High Net Worth,N,No,10
230,High Net Worth,N,No,10
231,Mass Customer,N,Yes,8
232,Mass Customer,N,No,2
233,Mass Customer,N,No,11
234,High Net Worth,N,No,8
235,Mass Customer,N,No,3
236,Affluent Customer,N,No,9
237,High Net Worth,N,Yes,7
238,Mass Customer,N,Yes,9
239,Affluent Customer,N,No,8
240,High Net Worth,N,Yes,6
241,Mass Customer,N,No,1
242,Affluent Customer,N,No,5
243,High Net Worth,N,Yes,4
244,Affluent Customer,N,No,10
245,Affluent Customer,N,No,11
246,High Net Worth,N,No,10
247,High Net Worth,N,Yes,8
248,Affluent Customer,N,Yes,7
249,High Net Worth,N,No,7
250,Mass Customer,N,Yes,1
251,Affluent Customer,N,Yes,2
252,Mass Customer,N,Yes,7
253,Mass Customer,N,Yes,5
254,Mass Customer,N,No,6
255,Mass Customer,N,No,6
256,High Net Worth,N,Yes,2
257,Affluent Customer,N,Yes,1
258,High Net Worth,N,No,10
259,High Net Worth,N,Yes,9
260,High Net Worth,N,Yes,10
261,Mass Customer,N,No,9
262,High Net Worth,N,Yes,10
263,High Net Worth,N,No,10
264,Mass Customer,N,No,9
265,High Net Worth,N,Yes,7
266,Affluent Customer,N,No,10
267,High Net Worth,N,No,2
268,Mass Customer,N,No,12
269,Mass Customer,N,Yes,9
270,Mass Customer,N,Yes,8
271,Mass Customer,N,No,4
272,Mass Customer,N,Yes,8
273,Mass Customer,N,No,8
274,Mass Customer,N,Yes,12
275,High Net Worth,N,No,11
276,Mass Customer,N,No,8
277,High Net Worth,N,No,6
278,Affluent Customer,N,Yes,5
279,Mass Customer,N,No,6
280,Affluent Customer,N,Yes,11
281,High Net Worth,N,Yes,12
282,High Net Worth,N,Yes,7
283,Mass Customer,N,No,8
284,High Net Worth,N,Yes,7
285,Mass Customer,N,No,9
286,Affluent Customer,N,Yes,9
287,Affluent Customer,N,No,5
288,High Net Worth,N,No,8
289,High Net Worth,N,No,2
290,Mass Customer,N,No,7
291,Mass Customer,N,No,6
292,Affluent Customer,N,Yes,8
293,Mass Customer,N,Yes,7
294,High Net Worth,N,No,8
295,Mass Customer,N,Yes,9
296,High Net Worth,N,Yes,9
297,High Net Worth,N,No,7
298,High Net Worth,N,No,7
299,Mass Customer,N,Yes,9
300,Mass Customer,N,No,11
301,High Net Worth,N,No,4
302,Mass Customer,N,No,3
303,Mass Customer,N,Yes,9
304,Mass Customer,N,Yes,5
305,Mass Customer,N,No,7
306,High Net Worth,N,No,9
307,Affluent Customer,N,Yes,10
308,High Net Worth,N,No,10
309,Mass Customer,N,Yes,8
310,Mass Customer,N,Yes,3
311,High Net Worth,N,No,10
312,Affluent Customer,N,Yes,7
313,Mass Customer,N,Yes,10
314,High Net Worth,N,Yes,2
315,Affluent Customer,N,No,8
316,Mass Customer,N,Yes,2
317,Mass Customer,N,Yes,5
318,Affluent Customer,N,Yes,6
319,Mass Customer,N,Yes,9
320,Mass Customer,N,No,9
321,Mass Customer,N,No,8
322,Mass Customer,N,Yes,10
323,Mass Customer,N,Yes,8
324,Mass Customer,N,Yes,8
325,Affluent Customer,N,Yes,4
326,Mass Customer,N,No,9
327,Mass Customer,N,No,8
328,Mass Customer,N,No,8
329,High Net Worth,N,Yes,5
330,High Net Worth,N,Yes,2
331,Mass Customer,N,Yes,6
332,High Net Worth,N,No,8
333,Affluent Customer,N,Yes,10
334,Affluent Customer,N,Yes,12
335,Affluent Customer,N,No,8
336,High Net Worth,N,No,10
337,High Net Worth,N,Yes,8
338,Mass Customer,N,No,10
339,Mass Customer,N,No,11
340,Mass Customer,N,Yes,9
341,Mass Customer,N,No,9
342,High Net Worth,N,No,10
343,Affluent Customer,N,No,9
344,High Net Worth,N,Yes,10
345,High Net Worth,N,Yes,11
346,Mass Customer,N,No,9
347,Mass Customer,N,No,10
348,Mass Customer,N,Yes,6
349,High Net Worth,N,No,9
350,Mass Customer,N,Yes,5
351,Mass Customer,N,Yes,8
352,Mass Customer,N,No,3
353,Mass Customer,N,No,9
354,Mass Customer,N,No,9
355,Mass Customer,N,Yes,4
356,High Net Worth,N,No,7
357,Affluent Customer,N,No,11
358,Mass Customer,N,No,7
359,Affluent Customer,N,Yes,12
360,Mass Customer,N,Yes,9
361,Mass Customer,N,Yes,5
362,High Net Worth,N,Yes,10
363,Mass Customer,N,Yes,12
364,Affluent Customer,N,No,6
365,High Net Worth,N,No,10
366,High Net Worth,N,No,4
367,Mass Customer,N,Yes,4
368,High Net Worth,N,No,8
369,Mass Customer,N,Yes,9
370,Affluent Customer,N,Yes,10
371,Mass Customer,N,No,9
372,Affluent Customer,N,Yes,7
373,High Net Worth,N,Yes,5
374,Mass Customer,N,Yes,9
375,Mass Customer,N,Yes,7
376,Mass Customer,N,Yes,1
377,Mass Customer,N,No,12
378,Mass Customer,N,No,5
379,High Net Worth,N,Yes,8
380,Mass Customer,N,No,7
381,Affluent Customer,N,No,9
382,Mass Customer,N,Yes,8
383,Affluent Customer,N,No,10
384,Affluent Customer,N,No,8
385,High Net Worth,N,No,9
386,Mass Customer,N,No,10
387,Mass Customer,N,No,2
388,Mass Customer,N,Yes,8
389,Affluent Customer,N,Yes,10
390,Affluent Customer,N,No,5
391,Mass Customer,N,No,7
392,Mass Customer,N,No,11
393,Mass Customer,N,Yes,7
394,High Net Worth,N,Yes,12
395,High Net Worth,N,Yes,3
396,High Net Worth,N,Yes,11
397,Affluent Customer,N,Yes,5
398,Affluent Customer,N,No,1
399,Affluent Customer,N,Yes,3
400,Mass Customer,N,No,4
401,Mass Customer,N,No,8
402,Affluent Customer,N,No,1
403,Mass Customer,N,Yes,8
404,Affluent Customer,N,Yes,10
405,High Net Worth,N,Yes,9
406,High Net Worth,N,No,8
407,High Net Worth,N,Yes,8
408,Affluent Customer,N,No,3
409,Mass Customer,N,Yes,9
410,Mass Customer,N,Yes,8
411,High Net Worth,N,No,9
412,High Net Worth,N,No,4
413,High Net Worth,N,Yes,8
414,High Net Worth,N,No,1
415,Affluent Customer,N,Yes,8
416,Mass Customer,N,Yes,7
417,Mass Customer,N,No,3
418,Mass Customer,N,No,11
419,Affluent Customer,N,No,2
420,High Net Worth,N,No,11
421,Mass Customer,N,Yes,3
422,Affluent Customer,N,No,8
423,Mass Customer,N,No,11
424,High Net Worth,N,No,10
425,Mass Customer,N,Yes,3
426,Affluent Customer,N,No,7
427,Mass Customer,N,Yes,7
428,High Net Worth,N,Yes,10
429,High Net Worth,N,Yes,2
430,High Net Worth,N,Yes,10
431,Affluent Customer,N,Yes,12
432,Affluent Customer,N,Yes,10
433,Affluent Customer,N,No,7
434,Mass Customer,N,Yes,4
435,Mass Customer,N,No,8
436,Mass Customer,N,No,6
437,Affluent Customer,N,Yes,8
438,High Net Worth,N,Yes,6
439,Affluent Customer,N,No,7
440,Mass Customer,N,No,6
441,Mass Customer,N,No,5
442,Mass Customer,N,No,9
443,High Net Worth,N,Yes,10
444,Mass Customer,N,Yes,10
445,Mass Customer,N,No,7
446,Affluent Customer,N,Yes,10
447,Mass Customer,N,Yes,10
448,High Net Worth,N,No,8
449,High Net Worth,N,Yes,10
450,Mass Customer,N,Yes,10
451,High Net Worth,N,No,10
452,Mass Customer,N,Yes,7
453,High Net Worth,N,No,9
454,Affluent Customer,N,Yes,8
455,Mass Customer,N,Yes,5
456,Affluent Customer,N,Yes,2
457,High Net Worth,N,Yes,10
458,Affluent Customer,N,Yes,6
459,Mass Customer,N,Yes,7
460,Affluent Customer,N,Yes,11
461,Mass Customer,N,Yes,5
462,Affluent Customer,N,Yes,9
463,Mass Customer,N,Yes,9
464,Mass Customer,N,Yes,9
465,Affluent Customer,N,Yes,12
466,Affluent Customer,N,Yes,11
467,Affluent Customer,N,No,8
468,High Net Worth,N,Yes,9
469,High Net Worth,N,Yes,9
470,Mass Customer,N,No,9
471,Affluent Customer,N,No,10
472,Mass Customer,N,Yes,8
473,Mass Customer,N,Yes,9
474,Affluent Customer,N,No,8
475,Affluent Customer,N,No,4
476,Mass Customer,N,No,6
477,High Net Worth,N,Yes,9
478,Affluent Customer,N,Yes,9
479,Mass Customer,N,Yes,9
480,Mass Customer,N,Yes,9
481,Mass Customer,N,No,3
482,Mass Customer,N,No,7
483,Affluent Customer,N,No,9
484,Mass Customer,N,No,2
485,High Net Worth,N,No,4
486,Affluent Customer,N,Yes,11
487,Mass Customer,N,No,10
488,Mass Customer,N,Yes,9
489,Mass Customer,N,Yes,10
490,Mass Customer,N,No,10
491,Affluent Customer,N,Yes,9
492,Mass Customer,N,No,9
493,Mass Customer,N,Yes,9
494,Mass Customer,N,No,3
495,Mass Customer,N,Yes,7
496,Affluent Customer,N,Yes,7
497,Mass Customer,N,Yes,8
498,High Net Worth,N,Yes,3
499,Affluent Customer,N,No,10
500,Affluent Customer,N,Yes,7
501,High Net Worth,N,No,9
502,Mass Customer,N,No,10
503,Affluent Customer,N,Yes,8
504,High Net Worth,N,Yes,9
505,High Net Worth,N,Yes,6
506,Mass Customer,N,No,8
507,Mass Customer,N,No,3
508,Mass Customer,N,Yes,8
509,Affluent Customer,N,Yes,12
510,Mass Customer,N,No,10
511,High Net Worth,N,No,12
512,Mass Customer,N,No,8
513,Mass Customer,N,No,11
514,Mass Customer,N,Yes,8
515,High Net Worth,N,No,12
516,Mass Customer,N,No,9
517,Mass Customer,N,Yes,8
518,Mass Customer,N,Yes,9
519,Mass Customer,N,Yes,10
520,Affluent Customer,N,Yes,5
521,High Net Worth,N,No,2
522,Affluent Customer,N,Yes,12
523,Affluent Customer,N,Yes,8
524,Mass Customer,N,No,10
525,Mass Customer,N,Yes,9
526,Mass Customer,N,Yes,10
527,Mass Customer,N,Yes,7
528,Mass Customer,N,No,5
529,Affluent Customer,N,Yes,7
530,Mass Customer,N,No,11
531,High Net Worth,N,No,12
532,Affluent Customer,N,No,7
533,Mass Customer,N,No,10
534,Mass Customer,N,No,7
535,Affluent Customer,N,No,9
536,Affluent Customer,N,No,9
537,High Net Worth,N,No,10
538,Mass Customer,N,Yes,6
539,High Net Worth,N,No,4
540,Mass Customer,N,No,10
541,Affluent Customer,N,Yes,8
542,Mass Customer,N,No,2
543,Affluent Customer,N,Yes,9
544,High Net Worth,N,Yes,7
545,Mass Customer,N,Yes,1
546,Mass Customer,N,Yes,6
547,Mass Customer,N,No,7
548,High Net Worth,N,Yes,9
549,Mass Customer,N,Yes,7
550,Mass Customer,N,No,9
551,High Net Worth,N,No,4
552,High Net Worth,N,Yes,8
553,Affluent Customer,N,Yes,2
554,Mass Customer,N,Yes,7
555,Mass Customer,N,No,10
556,Mass Customer,N,No,1
557,Affluent Customer,N,Yes,8
558,Mass Customer,N,No,3
559,High Net Worth,N,Yes,5
560,Affluent Customer,N,No,9
561,Mass Customer,N,No,8
562,Mass Customer,N,No,12
563,Mass Customer,N,Yes,11
564,High Net Worth,N,No,8
565,Mass Customer,N,Yes,2
566,High Net Worth,N,Yes,10
567,Affluent Customer,N,No,10
568,Mass Customer,N,No,10
569,Mass Customer,N,No,8
570,Mass Customer,N,Yes,12
571,Mass Customer,N,No,11
572,High Net Worth,N,Yes,10
573,Mass Customer,N,No,8
574,Mass Customer,N,No,10
575,High Net Worth,N,Yes,10
576,Mass Customer,N,Yes,7
577,Mass Customer,N,Yes,9
578,High Net Worth,N,Yes,4
579,Mass Customer,N,No,7
580,Mass Customer,N,Yes,10
581,Mass Customer,N,Yes,4
582,Affluent Customer,N,No,9
583,Mass Customer,N,No,8
584,Affluent Customer,N,Yes,1
585,Mass Customer,N,Yes,11
586,Mass Customer,N,No,11
587,Mass Customer,N,Yes,11
588,Mass Customer,N,No,8
589,Mass Customer,N,Yes,4
590,Mass Customer,N,Yes,9
591,Affluent Customer,N,No,4
592,Mass Customer,N,No,2
593,Mass Customer,N,No,7
594,Mass Customer,N,No,12
595,Mass Customer,N,No,8
596,Affluent Customer,N,No,8
597,Mass Customer,N,No,11
598,High Net Worth,N,No,3
599,Mass Customer,N,Yes,5
600,Mass Customer,N,Yes,8
601,High Net Worth,N,Yes,8
602,High Net Worth,N,Yes,8
603,Affluent Customer,N,No,11
604,Affluent Customer,N,No,6
605,Mass Customer,N,Yes,9
606,Mass Customer,N,Yes,6
607,Mass Customer,N,No,8
608,High Net Worth,N,Yes,11
609,Mass Customer,N,No,9
610,Mass Customer,N,Yes,11
611,Mass Customer,N,Yes,9
612,Mass Customer,N,No,4
613,High Net Worth,N,No,7
614,Mass Customer,N,Yes,7
615,Mass Customer,N,No,9
616,High Net Worth,N,No,3
617,Mass Customer,N,No,7
618,Affluent Customer,N,Yes,3
619,Mass Customer,N,No,3
620,Mass Customer,N,Yes,8
621,High Net Worth,N,No,7
622,Mass Customer,N,No,7
623,High Net Worth,N,No,5
624,Mass Customer,N,Yes,4
625,High Net Worth,N,Yes,1
626,Mass Customer,N,No,10
627,High Net Worth,N,No,8
628,Mass Customer,N,No,8
629,High Net Worth,N,No,8
630,Affluent Customer,N,Yes,3
631,Affluent Customer,N,No,8
632,Mass Customer,N,No,9
633,High Net Worth,N,Yes,8
634,Mass Customer,N,No,6
635,Mass Customer,N,Yes,7
636,Mass Customer,N,No,9
637,High Net Worth,N,No,6
638,High Net Worth,N,No,8
639,Mass Customer,N,No,4
640,High Net Worth,N,Yes,1
641,Affluent Customer,N,No,10
642,Mass Customer,N,No,2
643,Mass Customer,N,Yes,9
644,Affluent Customer,N,No,7
645,High Net Worth,N,No,8
646,Affluent Customer,N,No,7
647,Mass Customer,N,Yes,12
648,Mass Customer,N,Yes,3
649,Mass Customer,N,Yes,4
650,Mass Customer,N,No,8
651,Affluent Customer,N,No,8
652,High Net Worth,N,Yes,5
653,Affluent Customer,N,Yes,7
654,Affluent Customer,N,No,9
655,Affluent Customer,N,Yes,12
656,High Net Worth,N,Yes,10
657,Affluent Customer,N,No,7
658,Affluent Customer,N,Yes,9
659,Affluent Customer,N,Yes,9
660,High Net Worth,N,No,5
661,High Net Worth,N,No,10
662,Mass Customer,N,Yes,8
663,Affluent Customer,N,Yes,12
664,High Net Worth,N,No,9
665,Mass Customer,N,No,7
666,High Net Worth,N,Yes,2
667,High Net Worth,N,Yes,10
668,Mass Customer,N,No,1
669,Mass Customer,N,No,7
670,Affluent Customer,N,No,7
671,Mass Customer,N,No,12
672,High Net Worth,N,No,8
673,Mass Customer,N,Yes,10
674,Mass Customer,N,No,7
675,Mass Customer,N,Yes,9
676,High Net Worth,N,Yes,7
677,Mass Customer,N,No,9
678,High Net Worth,N,No,8
679,Mass Customer,N,No,7
680,High Net Worth,N,Yes,9
681,Mass Customer,N,Yes,4
682,Affluent Customer,N,Yes,9
683,Mass Customer,N,Yes,12
684,Mass Customer,N,No,8
685,Mass Customer,N,No,10
686,High Net Worth,N,Yes,7
687,High Net Worth,N,Yes,7
688,High Net Worth,N,No,9
689,High Net Worth,N,Yes,4
690,Affluent Customer,N,Yes,8
691,Affluent Customer,N,Yes,8
692,Mass Customer,N,No,10
693,Affluent Customer,N,Yes,7
694,Mass Customer,N,No,7
695,High Net Worth,N,No,6
696,Affluent Customer,N,Yes,3
697,Mass Customer,N,No,5
698,High Net Worth,N,Yes,12
699,Affluent Customer,N,Yes,6
700,Mass Customer,N,No,11
701,Mass Customer,N,Yes,10
702,Mass Customer,N,No,1
703,Mass Customer,N,No,9
704,Mass Customer,N,No,3
705,High Net Worth,N,No,9
706,High Net Worth,N,Yes,8
707,Mass Customer,N,Yes,7
708,Mass Customer,N,Yes,9
709,Mass Customer,N,Yes,6
710,High Net Worth,N,Yes,10
711,Affluent Customer,N,No,9
712,Mass Customer,N,No,7
713,Mass Customer,N,Yes,9
714,High Net Worth,N,Yes,11
715,Mass Customer,N,No,1
716,Mass Customer,N,No,10
717,Mass Customer,N,Yes,8
718,Mass Customer,N,Yes,9
719,Mass Customer,N,No,9
720,Affluent Customer,N,No,8
721,Affluent Customer,N,Yes,8
722,Mass Customer,N,No,8
723,Mass Customer,N,Yes,3
724,Mass Customer,N,Yes,6
725,High Net Worth,N,Yes,9
726,Mass Customer,N,Yes,10
727,Mass Customer,N,No,9
728,Mass Customer,N,Yes,11
729,Affluent Customer,N,No,10
730,Mass Customer,N,No,10
731,Mass Customer,N,No,7
732,Mass Customer,N,No,5
733,Mass Customer,N,No,2
734,Affluent Customer,N,No,5
735,Mass Customer,N,Yes,11
736,High Net Worth,N,No,2
737,Mass Customer,N,No,9
738,Mass Customer,N,Yes,9
739,Mass Customer,N,No,10
740,Affluent Customer,N,No,11
741,Mass Customer,N,No,5
742,Mass Customer,N,No,8
743,Mass Customer,N,Yes,11
744,Affluent Customer,N,Yes,9
745,Mass Customer,N,Yes,12
746,Affluent Customer,N,Yes,8
747,Mass Customer,N,No,10
748,High Net Worth,N,No,3
749,Mass Customer,N,No,3
750,Affluent Customer,N,Yes,4
751,Affluent Customer,N,No,4
752,High Net Worth,N,No,7
753,Affluent Customer,Y,Yes,8
754,Mass Customer,N,No,10
755,Mass Customer,N,No,10
756,Mass Customer,N,Yes,9
757,Mass Customer,N,No,9
758,High Net Worth,N,Yes,8
759,High Net Worth,N,No,5
760,Mass Customer,N,Yes,1
761,Affluent Customer,N,Yes,1
762,Mass Customer,N,Yes,8
763,Affluent Customer,N,No,8
764,Mass Customer,N,Yes,9
765,Affluent Customer,N,No,8
766,Mass Customer,N,Yes,10
767,High Net Worth,N,No,4
768,Affluent Customer,N,Yes,7
769,Mass Customer,N,No,3
770,High Net Worth,N,Yes,8
771,Affluent Customer,N,Yes,4
772,Mass Customer,N,No,4
773,Affluent Customer,N,Yes,9
774,High Net Worth,N,No,9
775,Affluent Customer,N,No,9
776,High Net Worth,N,No,3
777,High Net Worth,N,No,10
778,High Net Worth,N,No,3
779,High Net Worth,N,No,2
780,Mass Customer,N,No,6
781,Mass Customer,N,No,8
782,Mass Customer,N,No,10
783,Affluent Customer,N,No,7
784,High Net Worth,N,Yes,9
785,Mass Customer,N,Yes,11
786,Affluent Customer,N,No,9
787,Affluent Customer,N,Yes,10
788,Mass Customer,N,No,7
789,Affluent Customer,N,Yes,10
790,Affluent Customer,N,No,3
791,Mass Customer,N,Yes,9
792,High Net Worth,N,Yes,8
793,High Net Worth,N,Yes,8
794,Affluent Customer,N,Yes,9
795,High Net Worth,N,No,8
796,Mass Customer,N,No,4
797,Mass Customer,N,No,3
798,High Net Worth,N,No,7
799,Mass Customer,N,Yes,7
800,Mass Customer,N,No,7
801,Affluent Customer,N,No,8
802,Mass Customer,N,No,9
803,High Net Worth,N,No,8
804,High Net Worth,N,Yes,2
805,Mass Customer,N,No,8
806,Mass Customer,N,Yes,9
807,Affluent Customer,N,No,10
808,High Net Worth,N,Yes,4
809,Mass Customer,N,No,12
810,Mass Customer,N,Yes,8
811,Mass Customer,N,No,11
812,Mass Customer,N,No,10
813,Mass Customer,N,No,5
814,Mass Customer,N,No,11
815,Mass Customer,N,Yes,12
816,Mass Customer,N,No,12
817,Mass Customer,N,Yes,8
818,Mass Customer,N,No,5
819,Affluent Customer,N,Yes,11
820,High Net Worth,N,No,3
821,Mass Customer,N,Yes,12
822,High Net Worth,N,No,8
823,Affluent Customer,N,No,11
824,Affluent Customer,N,Yes,11
825,Affluent Customer,N,Yes,8
826,Mass Customer,N,Yes,8
827,Affluent Customer,N,No,4
828,Mass Customer,N,Yes,3
829,High Net Worth,N,Yes,7
830,Affluent Customer,N,No,7
831,Affluent Customer,N,No,10
832,Mass Customer,N,No,10
833,High Net Worth,N,Yes,8
834,Mass Customer,N,No,3
835,Mass Customer,N,Yes,1
836,Mass Customer,N,Yes,3
837,Mass Customer,N,Yes,11
838,High Net Worth,N,No,6
839,Mass Customer,N,Yes,10
840,Affluent Customer,N,Yes,5
841,Affluent Customer,N,Yes,7
842,High Net Worth,N,No,9
843,Affluent Customer,N,Yes,7
844,High Net Worth,N,No,7
845,Mass Customer,N,No,7
846,Affluent Customer,N,No,9
847,High Net Worth,N,No,10
848,Mass Customer,N,No,7
849,Mass Customer,N,No,2
850,Mass Customer,N,No,7
851,Affluent Customer,N,Yes,2
852,Affluent Customer,N,Yes,7
853,Mass Customer,N,Yes,4
854,Affluent Customer,N,No,7
855,High Net Worth,N,Yes,10
856,Mass Customer,N,Yes,9
857,High Net Worth,N,No,8
858,High Net Worth,N,Yes,10
859,Affluent Customer,N,Yes,1
